branch_id,topics,ending
42,Trump's appearance descriptions - Claim of bisexuality - Evidence request - Cognitive dissonance,disagreement
43,Trump's charm - Podcast appearance - Politicians on podcasts,agreement
44,Trump's wit - Dictator accusation - Trump's remarks,disagreement
45,Trump's resilience - Wealth impact - Toughness debate,inconclusive
46,Trump's wit - Biden's capabilities - Presidential comparison,disagreement
47,Trump's interview - Trump's lies - Biden's lies,disagreement
48,Trump's accomplishments - Trump's leadership qualities - Comparison of Trump and Biden,disagreement
49,Trump's accomplishments - Trump's policies - Biden's policies - Trump's leadership,disagreement
50,Trump's communication style - Pandemic response - Personal attacks,disagreement
51,Trump's communication style - Biden's communication style - speech coherence,inconclusive
52,Trump's philosophy - Enemies definition - Trump's foreign policy,disagreement
53,Trump interview style - Mainstream media criticism - Trump's demeanor,inconclusive
54,Biden's competency - Biden's mental state - denial of reality,disagreement
55,Biden podcast appearance - Biden's public image - Biden's behavior,inconclusive
56,Trump's coherence - Biden's coherence - Cognitive dissonance,disagreement
57,Trump's coherence - Biden's coherence - US government type,disagreement
58,Trump's coherence - Biden's coherence - Threat to democracy - Democracy vs. Republic,inconclusive
59,Trump's coherence - Biden's coherence - Political systems (democracy vs. republic) - Ad hominem attacks,disagreement
60,Trump's coherence - Biden's coherence - U.S. political system,disagreement
61,Trump's coherence - Biden's coherence - US political system,inconclusive
62,Trump's coherence - Biden's coherence - US government type,disagreement
63,Trump's coherence - Biden's coherence - U.S. political system,inconclusive
64,Trump's personality - cognitive abilities - media bias - Trump Derangement Syndrome,disagreement
65,Trump's personality - cognitive abilities - media bias,disagreement
66,teleprompter use - Biden's communication skills - Trump's communication skills,inconclusive
67,cute video - humor - platypus furry,agreement
68,Trump's charisma - Mike's reaction - Acknowledging traits,agreement
69,Trump's communication style - Biden's communication - Substance of statements,disagreement
70,Trump's rhetoric - Biden's communication - Political commentary - Criticism of political figures,inconclusive
71,Trump's rhetoric - Biden's communication - Substance in political speech,disagreement
72,Trump's communication style - Biden's communication style - Critique of Trump,inconclusive
73,Joe Rogan interviews - Trump interview - political comments,inconclusive
74,Joe Rogan interview - Trump interview refusal - Political podcast content,disagreement
75,Joe Rogan - Trump interview - Rogan's political leanings,inconclusive
76,question quality - comment frequency - user interaction,inconclusive
77,video recommendation - Trump support - Biden preference,inconclusive
78,Trump support - recommendation algorithm - accusation of being a bot,inconclusive
79,podcast interview content - attention spans - long-form content,inconclusive
80,former president - podcast question - comment reply,inconclusive
81,Trump's communication style - Narcissism - Cult of personality - Questioning motive,disagreement
82,WWE Championship - Trump interview - Accomplishment legitimacy,disagreement
83,inflation - economic policies - Trump administration,disagreement
84,wrestlers in UFC - Olympic vs. high school wrestling - Logan Paul's wrestling background,disagreement
85,video recommendation - Trump's assassination claim - comment understanding,inconclusive
86,phone etiquette - Trump interview - professionalism,inconclusive
87,book availability - book bans - wordplay,inconclusive
88,Trump's communication - claims of lying - media bias,disagreement
89,Trump's character - Biden criticism - Political alignment,disagreement
90,Trump's cognitive ability - Trump's bankruptcies - Trump's character/accusations - Media bias - Trump's business practices,disagreement
91,Trump's business dealings - Allegations against Trump - Media bias - Trump's communication style,disagreement
92,cognitive decline - business failures - Trump's character - media bias - bankruptcy impact,disagreement
93,cognitive decline - Trump's business record - Trump's legal issues - media bias - Epstein connection,disagreement
94,cognitive decline - Trump's business record - Trump's legal issues - media bias - accusations of scams,disagreement
95,cognitive decline - Trump's finances - Trump's character - media bias - bankruptcies,disagreement
96,cognitive decline - Trump's wealth - Trump's bankruptcies - media bias,disagreement
97,cognitive ability assessment - Trump's finances - Trump's bankruptcies - criticism of Trump,inconclusive
98,cognitive decline - Trump's intelligence - Trump's finances,disagreement
99,cognitive ability - media bias - Trump's wealth - Trump's actions,disagreement
100,cognitive ability - media bias - Trump's wealth - Trump's children,inconclusive
101,cognitive ability - media bias - wealth - Trump's business record,disagreement
102,cognitive decline - Trump's business dealings - media bias - election integrity - Biden's performance,disagreement
103,cognitive decline - business failures - legal issues - Trump's finances,inconclusive
104,cognitive decline - Trump's business failures - Trump's legal issues - election fraud accusations,disagreement
105,cognitive decline - media bias - Trump's business failures - Trump's legal issues - Trump's character,disagreement
106,cognitive decline - Trump's legal issues - media bias - Trump's draft deferment - Biden's deferment,disagreement
107,cognitive decline - media bias - Trump's business failures - Trump's legal issues,inconclusive
108,cognitive decline - Trump's business failures - Trump's legal issues - media bias - election fraud,disagreement
109,Trump's cognitive abilities - Trump's legal issues - Allegations of a coup - Media bias,disagreement
110,Trump's cognitive abilities - Trump's legal issues - Media bias,disagreement
111,Trump's cognitive abilities - Trump's legal issues - Trump's alleged crimes - Media bias,disagreement
112,cognitive decline - allegations of fraud - Trump's legal issues - Biden's gaffes - media bias,disagreement
113,Ukraine population - Ukraine birth rates - Russian speaking regions,inconclusive
114,Trump's energy - Biden's projects - Political projection,inconclusive
115,Trump interview - Questioning Trump - Conversation vs. Debate,disagreement
116,Trump's communication style - Media interview critique - Conversation vs. debate,disagreement
117,Trump's communication style - Questioning Trump's claims - Conversation vs. debate,disagreement
118,Debate fact-checking - Historians' perspective - CNN debate,inconclusive
119,Trump's communication style - Taxation - Relevance of answers,disagreement
120,Unscripted interview - Trump's conviction - Legality of charges,disagreement
121,unscripted interview - convicted felon - justice system,disagreement
122,unscripted interview - convicted felon - politically motivated trial - justice vs. politics,disagreement
123,Unscripted interview - Criticism of Trump - Defining 'former',disagreement
124,Trump's citizenship proposal - Interview analysis - Accuracy of statements,disagreement
125,Trump citizenship plan - veracity of statement - spelling/grammar,disagreement
126,Trump's personality - Trump's past behavior - Vegas odds,inconclusive
127,Trump's stance on nuclear - Trump's competence - Trump's financial history,disagreement
128,Trump's nuclear stance - Trump's competency - Hiring practices,disagreement
129,Trump's nuclear stance - Trump's competence - Trump's business record - Biden comparison,disagreement
130,Trump's nuclear stance - Trump's competence - Trump's business record,disagreement
131,Trump's stance on nuclear - Trump's competence - Trump's business record,disagreement
132,tariffs - Trump's presidency - tariff impact,inconclusive
133,Trump appearance - Logan Paul podcast - Show quality - Media standards,inconclusive
134,Trump's leadership - Trade policy - Media perception,inconclusive
135,Trump's business record - Trump's character - Success and failure,disagreement
136,Trump's return - Trump's alleged crimes - Trump's character,disagreement
137,interview quality - pre-screened questions - Trump interview,disagreement
138,interview questioning - Trump's policies - prescreened questions,disagreement
139,interview questions - Trump's economic policies - inflation blame,disagreement
140,Interview quality - Question pre-screening - Candidate preference,disagreement
141,Interview questions - Trump's communication style - Media bias,disagreement
142,Interview quality - Pre-screened questions - Trump's integrity,disagreement
143,Trump's communication style - Media bias - Fact-checking,inconclusive
144,media bias - unbiased news sources - MSM criticism,agreement
145,MAGA - Trump's healthcare plan - Criticism of Trump - Alternative to Trump,inconclusive
146,interview restraint - Trump interview conditions - accusation of bias,disagreement
147,Biden interview - Trump's honesty - Media coverage,inconclusive
148,Exaggerated praise - Humorous imitation - Lack of specific knowledge,inconclusive
149,Green card proposal - Immigration policy - Trump's policies,inconclusive
150,green card for graduates - job market competition - impact on American workers - Trump's policies,disagreement
151,Green card for graduates - Job market competition - Immigration impact on wages - American worker preference,inconclusive
152,Green card proposal - H1B visa - Employment of immigrants - Trump's policies - Immigration legality,disagreement
153,Green card for graduates - H1B visas - Immigration and jobs - Trump's immigration stance,disagreement
154,Green card announcement - Immigration concerns - Startup ideas,inconclusive
155,Trump interview - Fact-checking - Truth discernment,inconclusive
156,Trump interview - Question selection - Biden's performance - Media bias,inconclusive
157,question selection - Trump's tax returns - 2020 election fraud claims,disagreement
158,interview quality - 2020 election claims - questioning style,disagreement
159,Trump's economic claims - Tariffs - Media bias,agreement
160,Trump podcast appearance - Biden's communication - Candidate communication ability,inconclusive
161,political support - election outcomes - echo chambers,disagreement
162,Trump support - Political views in the USA - Echo chambers - Business owner opinions,disagreement
163,immigrants' origins - podcast content - comedic observation,inconclusive
164,cognitive decline - voter intelligence - insensitive comments - rural communities,inconclusive
165,Trump's competency - Trump's thoughts - Electric Sharks,inconclusive
166,YouTube shadow banning - stream trending - online insults,inconclusive
167,YouTube algorithm - Adin Ross interview - Search results,inconclusive
168,YouTube shadow banning - search results - Adin Ross relevance,inconclusive
169,YouTube algorithm - search results - Trump interview,disagreement
170,YouTube shadow banning - search results - Adin Ross interview,inconclusive
171,YouTube shadow banning - search results - video views vs. likes,inconclusive
172,YouTube algorithm - search results - Trump interview,inconclusive
173,YouTube shadow banning - search result manipulation - Adin Ross interview,inconclusive
174,YouTube shadow banning - search results - Adin Ross interview,inconclusive
175,YouTube shadow banning - Trump interview - media bias - Elon Musk,inconclusive
176,YouTube shadow banning - Adin Ross interview search results - Media bias,inconclusive
177,YouTube algorithm - search results - Adin Ross interview,inconclusive
178,YouTube shadow banning - search results - Adin Ross interview,inconclusive
179,YouTube shadow banning - search result ranking - Adin Ross interview,inconclusive
180,YouTube search results - Adin Ross interview - Shadow banning claims,inconclusive
181,YouTube algorithm - search results - Trump interview,inconclusive
182,YouTube shadow banning - search results - Adin Ross interview,inconclusive
183,YouTube shadow banning - view count discrepancy - personal insults,inconclusive
184,YouTube shadow banning - view count discrepancy - user insults and attacks,disagreement
185,YouTube shadow banning - view count discrepancy - user insults - political affiliation,disagreement
186,YouTube shadow banning - view count discrepancies - audience engagement,inconclusive
187,YouTube shadow banning - view count discrepancy - online insults - subscriber engagement,inconclusive
188,YouTube shadow banning - video visibility - channel reach,agreement
189,YouTube shadow banning - Facebook censorship - Minnesota education policies,inconclusive
190,Trump's appearance - Twitter privacy - Online presence,inconclusive
191,Trump's appearance - Twitter privacy - User interaction,inconclusive
192,Trump on Adin Ross stream - Twitter privacy - User's feelings,inconclusive
193,Trump appearance - Twitter privacy - User motivations,inconclusive
194,Trump appearance - Twitter privacy - User reaction,inconclusive
195,Trump's stream appearance - Trump's demeanor - TDS accusation - Audience reaction,disagreement
196,Trump appearance - NABJ questions - TDS accusations - projection,disagreement
197,Trump's appearance - TDS accusation - Political disagreements,disagreement
198,Trump's appearance - TDS accusations - Triggered responses,inconclusive
199,bot comments - channel ownership - political bias,inconclusive
200,National debt - Inflation - Economic policy - RFK24,disagreement
201,National debt - Media bias - Interview quality - Trump's interviews,disagreement
202,national debt - media bias - interview quality,inconclusive
203,YouTube censorship - Google's legal obligations - Shareholder rights,disagreement
204,YouTube censorship - Video suggestion algorithms - Attention span,inconclusive
205,YouTube censorship - video suggestions - Adin Ross viewership,disagreement
206,YouTube censorship - DEI hires - Harris' political career - Trump's legal issues - J6 insurrection,disagreement
207,YouTube censorship - DEI hire - Harris's political career,disagreement
208,censorship allegations - political candidate criticism - candidate's past - trial legitimacy,disagreement
209,YouTube censorship - Political candidates - Allegations of wrongdoing - Political arguments - Candidate's policies,disagreement
210,censorship accusation - political candidate critique - candidate's past - fair trials debate,disagreement
211,YouTube censorship - CEO DEI - Presidential election,inconclusive
212,YouTube censorship - DEI hire - Political aspirations,inconclusive
213,YouTube views - political disagreement - Trump's behavior,disagreement
214,YouTube views - political affiliation - Trump's communication style - Trump's policies,disagreement
215,YouTube views - political knowledge - Trump's sensitivity - accusations of bias,disagreement
216,YouTube views - Democratic support - Trump's sensitivity - accusations,disagreement
217,YouTube views - interview discussion - Trump's behavior - emotional sensitivity,disagreement
218,YouTube view count - interview criticism - Trump's communication style - accusations of emotionality,disagreement
219,video viewership - interview content - Trump's communication style - political accusations,disagreement
220,YouTube view count - Interview criticism - Trump's character,disagreement
221,video views - YouTube censorship - Trump's criminal status - criticism of US,disagreement
222,YouTube views - Trump's communication - Question interpretation - Race baiting accusation,disagreement
223,YouTube views - Trump's communication style - Snowflake accusation,disagreement
224,YouTube lawsuit - felony justification - violent crime comparison,disagreement
225,YouTube lawsuit - Terms of service - Cognitive issues - Chemicals and homosexuality - Lab leak theory,disagreement
226,YouTube lawsuit - COVID origin - cognitive issues - conspiracy theories,inconclusive
227,YouTube lawsuit - COVID origins - conspiracy theories - cognitive issues - media bias,disagreement
228,cognitive decline - Trump's communication style - conspiracy theories,disagreement
229,YouTube lawsuit - accusations - insults,inconclusive
230,online insults - personal attacks - genetic lottery,disagreement
231,Online insults - Legal charges against Trump - Cancer,disagreement
232,YouTube lawsuit - personal insults - genetics,disagreement
233,YouTube lawsuit - partisan suppression - right-wing grievances,disagreement
234,conspiracy theories - research - ignorance,disagreement
235,censorship - political support - insults,disagreement
236,censorship - political support - insults,disagreement
237,censorship - political preference - agreement,inconclusive
238,censorship - political opinions - insults,disagreement
239,shadow banning - algorithm manipulation - video views,inconclusive
240,Shadow banning - YouTube algorithm - Content visibility,inconclusive
241,Trump's unedited interview - Political support motivations - Economic policy under presidents - Unemployment statistics,disagreement
242,Trump interview format - Political motivations - Economic impact claims - Political ideologies,inconclusive
243,Trump on livestream - Voter support - Tax cuts debate - Political ideologies,disagreement
244,Trump interview - viewer intelligence - tax cuts - political opinions,inconclusive
245,Trump's livestream - Political motivations - Economic impact of policies,disagreement
246,Trump interview - Voter perception of politicians - Economic impact under different administrations - Ad hominem attacks,disagreement
247,unedited interview - tax cuts - working class tax - political affiliation,disagreement
248,unedited interview - tax cuts - Trump's accomplishments,disagreement
249,unedited interview - Trump's stamina - Logan Paul interview,inconclusive
250,Trump interviews - media bias - Kamala Harris' interviews,disagreement
251,Trump's interviews - media bias - Kamala Harris' interviews - Trump's communication style - border security,disagreement
252,unedited interview - Bolsonaro podcast - Tax Cuts and Jobs Act - economic impact of TCJA,disagreement
253,unedited interview - Bolsonaro interview - Tax Cuts and Jobs Act - Trump's policies - racism accusations,disagreement
254,unedited interview - Bolsonaro interview - Tax Cuts and Jobs Act - Trump's policies - political bias,disagreement
255,unedited interview - inflation causes - economic policies,disagreement
256,shadow banning - criminals caught - police conduct,inconclusive
257,shadow banning - private company censorship - freedom of speech - election interference,disagreement
258,YouTube algorithm - Shadow banning - Adin Ross stream,inconclusive
259,media bias - Trump's image - adoration vs. challenge,inconclusive
260,media bias - Kamala Harris interviews - interview quality comparison,disagreement
261,political views - lifestyle - generational differences,inconclusive
262,political views - lifestyle influence - political ideologies - party affiliation - corporate influence,inconclusive
263,political view shift - lifestyle influence - political alignment,inconclusive
264,political view formation - values impact - politician's motives - Trump's deportation numbers,disagreement
265,political affiliation - immigration policy - party platform,inconclusive
266,YouTube algorithm - video visibility - Trump interview audio quality,inconclusive
267,YouTube censorship - accusations of censorship - critical thinking,disagreement
268,YouTube censorship - criticism of censorship - accusations of being slow,disagreement
269,Adin Ross praise - Trump's alleged lies - Political comparisons,disagreement
270,Trump's communication style - Kamala Harris's speech - Trump's cognitive abilities - Harris's education,disagreement
271,Trump interview praise - Intelligence assessment - Political bias accusation,disagreement
272,YouTube shadow ban - grammar criticism - language proficiency,inconclusive
273,YouTube censorship - grammar criticism - language proficiency,inconclusive
274,YouTube shadow ban - grammar - language proficiency,inconclusive
275,shadow banning - grammar - language proficiency,inconclusive
276,YouTube shadow ban - Grammar usage - Tense correction,inconclusive
277,Trump's tax plan - Taxes on tips - Taxes on Social Security - Federal tax cuts - Import tax,inconclusive
278,taxation of tips - social security taxes - property tax reform - Trump's tax proposals,inconclusive
279,election integrity - voter turnout - election fraud,inconclusive
280,Trump support - Immigration views - Mexican-American perspective,inconclusive
281,Trump support - Trump's treatment of people - Political affiliation,disagreement
282,accusations - Trump - media bias,inconclusive
283,mic quality - generational differences - Trump's values,inconclusive
284,shadow banning - YouTube algorithm - view count,disagreement
285,shadow banning - view counts - Adin Ross,disagreement
286,YouTube shadow banning - view count - online engagement,disagreement
287,YouTube shadow banning - video visibility - comment deletion,disagreement
288,YouTube shadow banning - Social media moderation - Conspiracy theories,disagreement
289,YouTube viewership - Website crash - Content suppression - Private company policy,inconclusive
290,US economic health - Global economy - Recession debate,inconclusive
291,YouTube shadow ban - video visibility - search algorithm,inconclusive
292,YouTube view counts - Content creator views - Algorithm impact,inconclusive
293,YouTube views - Trump's communication style - Political debate - Kamala Harris,inconclusive
294,YouTube views - Trump's communication - Political polarization,inconclusive
295,YouTube view count - Subscriber count - Live stream viewing,agreement
296,YouTube view counts - Adin Ross viewership - Guest star impact,inconclusive
297,Trump's policies - Economic stability under Trump - Tax cuts - Foreign relations,disagreement
298,Trump's presidency - Economic stability - Reliable sources - Ukraine war,inconclusive
299,Trump's policies - Economic conditions - Ukraine war impact - Sources of information,disagreement
300,Trump's policies - Economic stability - Source credibility - Ukraine war,inconclusive
301,Trump's policies - Economic stability under Trump - Putin's actions - Reliable sources,disagreement
302,Trump's accomplishments - Economic stability - Inflation/Ukraine war impact,inconclusive
303,Trump's policies - Economic stability - Trump's global image - Reliable sources,inconclusive
304,Trump's presidency impact - Economic conditions - Biden administration achievements - Ukraine war's effect,inconclusive
305,Trump's presidency impact - Economic conditions - Source verification - Biden's achievements,inconclusive
306,Trump's presidency - Economic stability - Reliable sources - Foreign relations,disagreement
307,MrBeast controversy - YouTube censorship - Influencer silence,inconclusive
308,YouTube censorship - Algorithm bias - MrBeast,inconclusive
309,Trump support - immigrant voting - name-calling,disagreement
310,Trump's speech - inspirational moment - reaction to speech,inconclusive
311,inspirational moment - Trump's speech - audience response,inconclusive
312,Trump rally - inspirational moment - Maxwell murder extended bass solo,inconclusive
313,Communism definition - Political understanding - Trump supporters,disagreement
314,communism definition - political beliefs - political science degree,disagreement
315,Adin Ross's Israel stance - Jewish heritage - Age and perspective,disagreement
316,Adin Ross pro-Israel stance - Jewish heritage - Israeli colonization,disagreement
317,stereotypes - generational differences - insults,disagreement
318,kick repayment - Jewish identity - name-calling,inconclusive
319,YouTube censorship - video trending - Trump video reception,disagreement
320,YouTube bias - political affiliation - hostility,disagreement
321,media attention - Trump's popularity - media bias,inconclusive
322,Trump's communication style - Adin Ross association - Trump's honesty,disagreement
323,Trump's communication style - media bias - misinformation,disagreement
324,Trump's communication style - Adin Ross interview - Presidential accessibility,disagreement
325,Trump vs. Kamala Harris - Political policy comparisons - Climate change stance - Worker's rights,disagreement
326,political affiliation - hypocrisy accusation - war and peace,disagreement
327,Trump support in high school - Biden's America - Teacher political neutrality,inconclusive
328,Trump support - Political discussion in schools - Biden's America,inconclusive
329,economic concerns - Trump support - political awareness,inconclusive
330,inflation - oil supply - immigration impact - economic policies,disagreement
331,economic concerns - oil supply - immigration impact - political stances,disagreement
332,economic concerns - inflation causes - immigration impact - YouTube censorship,disagreement
333,YouTube censorship - view count discrepancy - Asmongold video length,inconclusive
334,Trump mistreatment - Trump's courage - perceived 'evil forces',agreement
335,YouTube algorithm - copyright flagging - political censorship,disagreement
336,YouTube algorithm - copyright flagging - political censorship - media bias,disagreement
337,YouTube shadow banning - view count discrepancies - Trump rallies,agreement
338,YouTube algorithm - Biden support - Political affiliation,inconclusive
339,YouTube feed - Trump support - Biden support,inconclusive
340,YouTube recommendations - Video visibility - Political affiliation,inconclusive
341,illegal immigration impact - wage reduction - worker skill comparison,disagreement
342,illegal immigration impact - wage stagnation - labor market competition,disagreement
343,Trump's birthday party - authenticity claim - casino event,inconclusive
344,AOC roast - Israel support - Zionism,disagreement
345,media bias - Trump's character - censorship,disagreement
346,Media bias - Trump's image - Supporting Trump,disagreement
347,Media bias - Trump's image - Political disagreement,disagreement
348,media bias - Trump's character - censorship concerns,disagreement
349,Trump's image - Media bias - Political ideologies,inconclusive
350,Media bias - Trump's image - Communism - Political ideology,inconclusive
351,Trump's character - Media portrayal - Communism - Political ideologies,inconclusive
352,Media portrayal of Trump - Trump's actions - Communism - Political opinions - Anti-trust laws,disagreement
353,media bias - Trump support - communism - political ideology - immigration,disagreement
354,candidate preference - debate question - insults,disagreement
355,social media - user's identity,inconclusive
356,YouTube algorithm - media bias - political content visibility,disagreement
357,YouTube censorship - Shadow banning - Streaming platform reach,inconclusive
358,January 6th events - political viewpoints - online conflict,disagreement
359,January 6th events - Election fraud claims - BLM protests - Trump's role in J6,disagreement
360,Trump support - J6 portrayal - BLM protests - Media bias,disagreement
361,Kamala Harris interview - scripted interview claim - Trump's communication style,disagreement
362,EV definition - President's stance on EVs - Electric vehicle,agreement
363,Third world convicts - Trump's convictions - Trump's patriotism - Political insults,disagreement
364,Kamala Harris - primary elections - accusations of cult-like behavior,disagreement
365,Trump's performance - Historical data - Economic impact,disagreement
366,Trump's presidency - Historical data - Supporting claims with data,disagreement
367,Trump's presidency - Historical data - Claims and evidence,disagreement
368,Trump's policies - Economic concerns - Ad hominem attacks - Social media comments,disagreement
369,Trump's policies - economic concerns - criticism of Trump,disagreement
370,Trump's policies - economic decline - border security,disagreement
371,audio quality - sound gate - audio compression,agreement
372,Theo Von interviews - media bias - interviewing both sides,inconclusive
373,Theo Von interviews - Media bias - Political views - Israeli-Palestinian conflict,inconclusive
374,Theo Von interviews - interviewee diversity - interviewee respect,agreement
375,Theo Von interviews - Interview subject diversity - Respect for interviewees,inconclusive
376,Theo Von interviews - Interviewee variety - Media bias,inconclusive
377,interview subjects - interviewee respect - interview timeline,inconclusive
378,Theo Von interviews - interviewee diversity - respectful interviewing,inconclusive
379,Theo Von interviews - Interviewee diversity - Comparison of interviewees,inconclusive
380,Theo Von interviews - Interviewee diversity - Interview quality,agreement
381,interview variety - interview subject comparison - interview timeline,inconclusive
382,interview variety - interviewee respect - interview timeline,inconclusive
383,interview variety - interview subject comparison - lunch lady interview request,inconclusive
384,interview variety - podcast guests - media landscape,inconclusive
385,interview subjects - comparison of interviewees - YouTube comment engagement,inconclusive
386,interview variety - celebrity interviews - interviewee selection,inconclusive
387,Theo Von's interviews - interview variety - audience opinion,inconclusive
388,Trump interview - political unseriousness - international interest,disagreement
389,Theo Von interviews - Trump support - Interview guest variety,inconclusive
390,Bernie Sanders - Socialism - Healthcare for all - Minimum wage,disagreement
391,Bernie Sanders - Minimum wage - Socialism/Communism - Obamacare,disagreement
392,Bernie Sanders - Political ideology - Socialism - 2020 election,disagreement
393,Theo Von support - Spine surgery experience - Personal health struggles,inconclusive
394,Theo Von's kindness - Fan interaction - Personal experience,agreement
395,Theo Von podcast - support for a listener - addiction recovery,inconclusive
396,Theo Von's support - Spine surgeries - Recovery progress,inconclusive
397,Trump's interview style - Media portrayal - Rogan's interview style - Biden's cognitive state,disagreement
398,Trump interview - respect for Trump - communication style,inconclusive
399,Trump's unscripted communication - Question planning - Agreement on outcome,inconclusive
400,economy under previous administration - financial situation - accusations of delusion,disagreement
401,economic claims - personal finances - COVID impact,disagreement
402,economic performance - Obama's economy - financial well-being,disagreement
403,economy under Trump - economic gains - COVID-19 response,disagreement
404,economic performance - COVID-19 response - cryptocurrency investments,disagreement
405,economic performance - COVID-19 response - presidential administrations,disagreement
406,economic performance - COVID-19 response - cryptocurrency gains,disagreement
407,economic performance - COVID-19 response - Trump's pandemic handling,disagreement
408,economic claims - comment section behavior - commenting on comments,disagreement
409,economic conditions - inflation blame - government spending - Biden's policies,disagreement
410,economic conditions - inflation blame - personal experiences - food preferences,inconclusive
411,economic claims - inflation blame - political views,disagreement
412,economic performance under Trump - inflation blame - national debt,disagreement
413,economic claims - inflation causes - Biden's policies,inconclusive
414,economic conditions - inflation - blame for inflation,disagreement
415,economic performance under Trump - inflation - blame for economic issues,inconclusive
416,economic performance claims - inflation blame - Biden's responsibility - monetary policy,disagreement
417,economic conditions - cost of living - inflation causes,disagreement
418,economic impact - personal financial experiences - projecting economic success,disagreement
419,economic performance - tax revenue - national debt,disagreement
420,economic performance - inflation rates - pandemic impact,disagreement
421,economic performance - pandemic shutdowns - inflation causes,disagreement
422,economic policies - inflation causes - Trump's pandemic response,disagreement
423,economic policies - pandemic impact - Trump's policies - political disinformation,disagreement
424,Economic performance - Inflation causes - Trump's policies (pandemic era) - Political alignment,inconclusive
425,economic claims - pandemic impact - Trump's policies - inflation causes,inconclusive
426,Economic impact of policies - Inflation causes - Trump's policies - Pandemic impact,inconclusive
427,economic policies - pandemic impact - Trump support/criticism,disagreement
428,Economic policies - Pandemic impact - Trump support/criticism - Inflation causes - Unemployment benefits,inconclusive
429,Economic claims - Inflation debate - Trump's pandemic response - Unemployment benefits,inconclusive
430,economic policies - tax cuts - inflation causes - pandemic impact,inconclusive
431,economic policy - tax cuts - price gouging,disagreement
432,tax cuts - price gouging - inflation rates,disagreement
433,economic policies - inflation causes - pandemic impact,inconclusive
434,economic performance - national debt - inflation comparison - corporate greed,disagreement
435,economic performance - Trump's economic policies - housing market,inconclusive
436,economic claims - inflation - grocery prices,inconclusive
437,Theo Von's fame - Podcast promotion - Authenticity in media,disagreement
438,Theo Von's fame - authenticity of podcasters - Joe Rogan's career,inconclusive
439,Theo Von's fame - Podcaster success - Authenticity of podcasters - Rogan's influence,disagreement
440,Theo Von's fame - Joe Rogan's influence - authenticity of podcasters,disagreement
441,Theo Von's fame - authenticity - podcaster's success,inconclusive
442,Theo Von's fame - Podcaster authenticity - Industry influence,inconclusive
443,Theo Von's fame - Authenticity - Podcast success,disagreement
444,Theo Von comparisons - Forrest Gump analogy - Joe Dirt analogy,inconclusive
445,sober interview - triggered response - answering questions,inconclusive
446,sobriety - interviewing presidents - personal attacks,disagreement
